Engelse naam/Food name,Hoeveelheid/Quantity,FAT (g),PROT (g),Carbohydrates (kcal),VITB1 (mg),RIBF (mg),VITB6 (mg),VITB12 (µg),VITD (µg),VITE (mg),VITC (mg),VITA (µg),Calcium (mg),Iron (mg),Magnesium (mg),Phosphorus (mg),Potassium (mg),Sodium (mg),Zinc (mg),food_group
Potatoes raw,per 100g,0,2,88,"0,12","0,04","0,3",0,0,"0,1",14.0,1.0,6.0,"0,5",22.0,60.0,450.0,2.0,"0,37",Bread
Potatoes new raw,per 100g,0,2,88,"0,12","0,04","0,3",0,0,"0,1",25.0,0.0,6.0,"0,5",14.0,60.0,450.0,2.0,"0,2",Bread
Potatoes old raw,per 100g,0,2,88,"0,12","0,04","0,22",0,0,"0,1",5.0,1.0,6.0,"0,5",17.0,60.0,450.0,2.0,"0,3",Bread
Pasta white raw,per 100g,"1,5","12,3",356,"0,1","0,06","0,08",0,0,0,0.0,0.0,15.0,2,53.0,125.0,100.0,2.0,"1,5",Bread
Rice white raw,per 100g,1,7,352,"0,04","0,03","0,12",0,0,"0,1",0.0,0.0,10.0,"0,4",13.0,100.0,100.0,2.0,"1,8",Bread
Endive raw,per 100g,"0,3","1,5",16,"0,05","0,06","0,057",0,0,"0,3",1.0,151.0,54.0,"1,2",11.0,36.0,253.0,29.0,"0,55",Vegetables
Endive boiled,per 100g,"0,5","1,4",22,"0,05","0,06","0,081",0,0,"0,8",1.0,377.0,60.0,"0,5",9.0,25.0,163.0,5.0,"0,27",Vegetables
Asparagus white raw,per 100g,"0,3",1,22,"0,1","0,07","0,03",0,0,"1,2",30.0,0.0,20.0,1,20.0,60.0,200.0,1.0,"0,5",Vegetables
Aubergine/eggplant raw,per 100g,0,1,20,"0,04","0,05","0,07",0,0,0,10.0,12.0,10.0,"0,5",11.0,12.0,200.0,2.0,"0,2",Vegetables
Aubergine/eggplant boiled,per 100g,0,1,21,"0,04","0,05","0,06",0,0,0,4.0,12.0,10.0,"0,5",8.0,12.0,200.0,10.0,"0,1",Vegetables
Beetroot raw,per 100g,"0,1","1,7",38,"0,05","0,05","0,045",0,0,"0,1",2.0,2.0,10.0,"0,4",14.0,40.0,400.0,70.0,"0,4",Vegetables
Celery boiled,per 100g,0,1,14,"0,08","0,15","0,06",0,0,"0,2",10.0,483.0,80.0,"0,5",4.0,40.0,320.0,60.0,"0,1",Vegetables
Cauliflower raw,per 100g,"0,2","1,9",25,"0,05","0,06","0,132",0,0,0,25.0,0.0,28.0,"0,3",12.0,48.0,296.0,8.0,"0,37",Vegetables
Cauliflower boiled,per 100g,"0,4","1,8",22,"0,02","0,05","0,063",0,0,"0,1",22.0,0.0,25.0,"0,3",9.0,47.0,224.0,10.0,"0,26",Vegetables
Kale curly boiled,per 100g,"1,3","2,7",33,0,"0,03","0,09",0,0,"2,7",25.0,350.0,231.0,"1,1",13.0,46.0,229.0,6.0,"0,2",Vegetables
Mushrooms chanterelle raw,per 100g,0,"1,8",16,"0,07","0,3","0,02",0,0,"0,1",20.0,217.0,10.0,"0,5",7.0,80.0,500.0,5.0,"0,97",Vegetables
Mushrooms chanterelle boiled,per 100g,0,"1,8",20,"0,07","0,3","0,01",0,0,"0,1",6.0,380.0,10.0,"0,5",7.0,80.0,500.0,5.0,"0,97",Vegetables
Mushroom raw,per 100g,"0,5","2,3",18,"0,07","0,3","0,12",0,0,"0,1",4.0,0.0,6.0,"0,2",9.0,80.0,320.0,5.0,"0,3",Vegetables
Mushroom boiled,per 100g,"0,3","3,8",21,"0,07","0,3","0,07",0,0,"0,1",1.0,0.0,5.0,1,7.0,64.0,250.0,5.0,"0,3",Vegetables
Cabbage Chinese raw,per 100g,0,1,17,"0,03","0,04","0,05",0,0,"0,1",23.0,3.0,125.0,1,11.0,45.0,250.0,10.0,"0,23",Vegetables
Cabbage Chinese boiled,per 100g,0,1,17,"0,03","0,04","0,03",0,0,"0,1",10.0,3.0,125.0,1,11.0,45.0,250.0,10.0,"0,17",Vegetables
Peas raw,per 100g,0,4,65,"0,17","0,15","0,09",0,0,0,25.0,94.0,20.0,2,30.0,80.0,300.0,10.0,"1,1",Vegetables
Cabbage green raw,per 100g,"0,2","2,4",36,"0,33","0,04","0,14",0,0,"0,1",30.0,76.0,56.0,"0,5",14.0,37.0,288.0,7.0,"0,3",Vegetables
Cabbage green boiled,per 100g,"0,2","1,5",21,"0,15","0,05","0,07",0,0,"0,3",45.0,53.0,54.0,"0,4",9.0,29.0,187.0,5.0,"0,2",Vegetables
Celeriac boiled,per 100g,0,2,38,"0,03","0,03","0,09",0,0,"0,5",6.0,4.0,80.0,1,13.0,90.0,400.0,80.0,"0,1",Vegetables
Cucumber wo skin raw,per 100g,"0,2","0,6",15,"0,01","0,01","0,026",0,0,0,1.0,11.0,22.0,"0,4",10.0,25.0,145.0,2.0,"0,22",Vegetables
Cucumber boiled,per 100g,0,1,17,"0,03","0,01","0,02",0,0,0,4.0,2.0,20.0,"0,5",10.0,30.0,200.0,5.0,"0,22",Vegetables
Swede boiled,per 100g,"0,1","0,7",33,"0,02",0,"0,07",0,0,0,15.0,4.0,37.0,"0,2",8.0,32.0,175.0,4.0,"0,1",Vegetables
Kohlrabi boiled,per 100g,"0,3",2,31,"0,04","0,05","0,06",0,0,0,50.0,0.0,90.0,1,43.0,60.0,500.0,10.0,"0,26",Vegetables
Sweet pepper green raw,per 100g,"0,1","0,8",19,"0,02","0,02","0,202",0,0,"0,9",71.0,30.0,7.0,"0,3",9.0,24.0,178.0,0.0,"0,23",Vegetables
Sweet pepper green boiled,per 100g,"0,2","0,6",17,"0,02","0,02","0,179",0,0,"0,9",70.0,38.0,10.0,"0,5",8.0,19.0,126.0,2.0,"0,23",Vegetables
Raisins dried,per 100g,"0,5","3,1",325,"0,08","0,03","0,15",0,0,"0,7",0.0,0.0,50.0,2,42.0,90.0,800.0,25.0,"0,18",Fruits
Mange-tout raw,per 100g,0,2,33,"0,15","0,06","0,09",0,0,"0,4",35.0,15.0,40.0,"0,5",28.0,30.0,250.0,5.0,"0,5",Vegetables
Leek boiled,per 100g,"0,5","1,1",22,"0,03","0,03","0,096",0,0,"0,8",5.0,53.0,41.0,"0,3",10.0,22.0,222.0,3.0,"0,19",Vegetables
Turnip tops raw,per 100g,0,2,17,"0,05","0,15","0,09",0,0,0,35.0,365.0,100.0,3,10.0,45.0,296.0,40.0,"0,4",Vegetables
Turnip tops boiled,per 100g,0,2,17,"0,05","0,15","0,05",0,0,"2,9",15.0,651.0,100.0,3,10.0,45.0,203.0,29.0,"0,4",Vegetables
Rhubarb raw,per 100g,0,1,23,"0,05","0,02","0,03",0,0,"0,2",6.0,10.0,40.0,"0,5",14.0,30.0,300.0,5.0,"0,1",Vegetables
Cabbage red raw,per 100g,0,2,27,"0,09","0,03","0,12",0,0,"0,2",60.0,3.0,50.0,"0,4",17.0,30.0,300.0,9.0,"0,3",Vegetables
Cabbage red boiled,per 100g,0,"1,3",23,"0,09","0,03","0,11",0,0,"0,1",38.0,1.0,42.0,"0,3",11.0,31.0,275.0,9.0,"0,16",Vegetables
Salsify raw,per 100g,1,1,76,"0,05","0,02","0,12",0,0,"0,8",4.0,3.0,60.0,"1,5",10.0,50.0,400.0,5.0,"0,2",Vegetables
Lettuce butterhead raw,per 100g,"0,4","1,4",13,"0,05","0,06","0,045",0,0,"0,2",0.0,139.0,49.0,"0,7",15.0,36.0,352.0,8.0,"0,41",Vegetables
Lettuce butterhead boiled,per 100g,"0,4",2,22,"0,05","0,08","0,03",0,0,"0,2",1.0,71.0,30.0,"0,4",15.0,41.0,300.0,15.0,"0,41",Vegetables
Beans runner raw,per 100g,"0,1","1,9",22,"0,07","0,06","0,05",0,0,"0,2",5.0,15.0,40.0,"0,5",10.0,30.0,250.0,4.0,"0,4",Vegetables
Beans French raw,per 100g,"0,2","2,3",25,"0,07","0,09","0,07",0,0,"0,2",1.0,15.0,70.0,"0,8",30.0,50.0,250.0,3.0,"0,25",Vegetables
Spinach raw,per 100g,"0,6","3,2",26,"0,26","0,2","0,132",0,0,"1,2",1.0,365.0,105.0,2,55.0,62.0,539.0,13.0,"1,1",Vegetables
Spinach boiled,per 100g,"0,9","2,9",25,"0,06","0,15","0,075",0,0,"3,5",7.0,651.0,84.0,"2,4",77.0,71.0,418.0,15.0,"1,2",Vegetables
Cabbage oxheart raw,per 100g,1,3,42,"0,04","0,04","0,1",0,0,"0,2",36.0,103.0,50.0,"0,5",12.0,30.0,300.0,10.0,"0,2",Vegetables
Cabbage oxheart boiled,per 100g,"0,6","1,1",21,"0,04","0,04","0,06",0,0,"0,4",8.0,104.0,39.0,"0,4",8.0,32.0,141.0,10.0,"0,2",Vegetables
Brussel sprouts boiled,per 100g,"0,7","2,3",47,"0,11","0,08","0,192",0,0,"0,6",132.0,29.0,38.0,"0,6",22.0,85.0,412.0,7.0,"0,31",Vegetables
Sweetcorn boiled,per 100g,"1,4","2,5",74,"0,12","0,07","0,1",0,0,"0,9",7.0,7.0,11.0,"0,5",45.0,100.0,250.0,1.0,"0,4",Vegetables
Bean sprouts raw,per 100g,"0,1","2,2",25,"0,06","0,07","0,019",0,0,"0,1",8.0,1.0,16.0,"0,4",15.0,37.0,121.0,6.0,"0,3",Vegetables
Bean sprouts boiled,per 100g,"0,1","1,8",17,"0,05","0,05","0,018",0,0,"0,1",4.0,1.0,22.0,"0,4",13.0,30.0,67.0,5.0,"0,26",Vegetables
Tomatoes classic round raw,per 100g,"0,4","0,7",20,"0,03","0,01","0,077",0,0,"0,7",15.0,77.0,11.0,"0,3",8.0,23.0,246.0,2.0,"0,15",Vegetables
Tomatoes classic round boiled,per 100g,"0,7","0,7",23,"0,03","0,01","0,077",0,0,"0,7",14.0,85.0,9.0,"0,6",8.0,24.0,233.0,2.0,"0,21",Vegetables
Beans broad raw,per 100g,0,5,51,"0,1","0,15","0,07",0,0,"0,5",80.0,19.0,20.0,"0,9",28.0,100.0,400.0,5.0,"0,9",Vegetables
Onions raw,per 100g,"0,2","1,3",37,"0,04","0,02","0,121",0,0,"0,1",5.0,0.0,29.0,"0,3",9.0,33.0,185.0,4.0,"0,29",Vegetables
Onions boiled,per 100g,"0,2",1,35,"0,03","0,01","0,116",0,0,"0,1",5.0,1.0,24.0,"0,2",9.0,38.0,159.0,2.0,"0,31",Vegetables
Chicory raw,per 100g,"0,2","1,3",19,"0,05","0,03","0,037",0,0,0,0.0,0.0,22.0,"0,2",10.0,34.0,194.0,2.0,"0,2",Vegetables
Chicory boiled,per 100g,"0,2","1,2",16,"0,07","0,02","0,018",0,0,"0,2",0.0,1.0,24.0,"0,2",10.0,31.0,183.0,3.0,"0,17",Vegetables
Cabbage white raw,per 100g,0,2,30,"0,04","0,04","0,15",0,0,"0,2",29.0,2.0,30.0,"0,5",9.0,30.0,200.0,8.0,"0,23",Vegetables
Cabbage white cooked,per 100g,0,"0,9",16,"0,04","0,04","0,1",0,0,"0,1",15.0,2.0,51.0,"0,2",7.0,24.0,147.0,15.0,"0,07",Vegetables
Carrot raw av,per 100g,"0,3","0,8",32,"0,03","0,03","0,079",0,0,"0,4",4.0,1243.0,25.0,"0,2",7.0,29.0,259.0,28.0,"0,24",Vegetables
Carrot boiled av,per 100g,"0,3","0,7",32,"0,03","0,02","0,069",0,0,"0,8",3.0,1718.0,28.0,"0,2",7.0,27.0,215.0,26.0,"0,23",Vegetables
Cabbage sauerkraut raw,per 100g,0,"1,1",13,0,"0,04","0,134",0,0,"0,1",25.0,3.0,62.0,"0,3",9.0,30.0,210.0,600.0,"0,12",Vegetables
Cabbage sauerkraut cooked,per 100g,0,"0,9",14,"0,02","0,01","0,17",0,0,"0,1",15.0,3.0,46.0,"0,4",8.0,30.0,138.0,289.0,"0,1",Vegetables
Vegetable mix for soup raw,per 100g,"0,2","1,5",32,"0,04","0,05","0,193",0,0,"0,3",17.0,393.0,41.0,"0,8",12.0,39.0,306.0,26.0,"0,39",Vegetables
Semolina,per 100g,1,11,337,"0,07","0,03","0,05",0,0,"0,1",0.0,0.0,15.0,1,32.0,90.0,100.0,2.0,"0,6",Bread
Flour rice,per 100g,1,7,352,"0,04","0,03","0,12",0,0,0,0.0,0.0,10.0,"0,4",35.0,100.0,100.0,2.0,"1,19",Bread
Vermicelli raw,per 100g,2,12,354,"0,1","0,06","0,09",0,0,0,0.0,0.0,15.0,2,57.0,125.0,100.0,10.0,"1,5",Bread
Egg whole chicken av raw,per 100g,"9,1","12,3",132,"0,07","0,38","0,089","1,49","1,1","3,1",0.0,194.0,57.0,"2,3",14.0,229.0,145.0,153.0,"1,56",Meat
Egg whole chicken av boiled,per 100g,"8,8","12,3",128,"0,08","0,35","0,114","1,54","1,8","4,2",0.0,215.0,64.0,"2,4",15.0,247.0,141.0,149.0,"1,63",Meat
Egg yolk chicken raw,per 100g,"32,6","16,7",361,"0,2","0,5","0,16","3,8","5,6","3,1",0.0,540.0,150.0,"5,9",12.0,619.0,102.0,40.0,"4,3",Meat
Egg yolk chicken boiled,per 100g,33,16,361,"0,25","0,4","0,25","3,8",5,"3,1",0.0,540.0,150.0,6,14.0,600.0,102.0,50.0,"3,6",Meat
Egg powder chicken,per 100g,42,46,574,"0,4",1,"0,2",10,"6,8","4,3",0.0,768.0,225.0,11,46.0,900.0,600.0,500.0,5,Meat
Mutton >10g fat raw av,per 100g,25,17,293,"0,12","0,1","0,09","1,5","0,2","0,1",0.0,16.0,10.0,"2,1",24.0,200.0,350.0,100.0,"2,9",Meat
Duck w skin raw,per 100g,"37,3","13,1",388,"0,14","0,51","0,33",2,"0,7","0,7",0.0,50.0,8.0,"1,3",14.0,120.0,190.0,73.0,"1,3",Meat
Hare whole raw,per 100g,3,22,115,"0,09","0,06","0,5",10,0,"0,1",0.0,0.0,9.0,2,26.0,220.0,400.0,50.0,"1,7",Meat
Chicken w skin raw,per 100g,16,"18,3",218,"0,04","0,07","0,379","0,2","0,3","1,2",0.0,45.0,13.0,"0,8",21.0,162.0,259.0,74.0,"1,37",Meat
Mussels boiled,per 100g,"3,1","17,2",125,0,"0,24","0,06","19,16",0,"2,1",0.0,125.0,67.0,"3,9",63.0,231.0,212.0,387.0,"2,2",Meat
Eel raw,per 100g,"35,1",14,372,"0,1","0,35","0,17","4,4","4,9","4,1",2.0,1043.0,20.0,1,19.0,200.0,250.0,85.0,"1,75",Meat
Herring raw,per 100g,15,16,199,"0,05","0,12","0,2",13,"6,2","0,8",0.0,30.0,100.0,2,32.0,200.0,250.0,80.0,"0,57",Meat
Fish lean 0-5 g fat raw av,per 100g,"1,5","19,7",92,"0,11","0,11","0,176","1,81","3,4","0,4",0.0,6.0,27.0,"0,7",25.0,156.0,270.0,92.0,"0,53",Meat
Fish fat >5 g fat raw av,per 100g,"19,1","17,2",242,"0,1","0,23","0,338","6,96","5,5","1,6",1.0,288.0,31.0,1,29.0,224.0,327.0,201.0,"0,85",Meat
Beans white/ brown dried,per 100g,"2,4","20,1",314,"0,6","0,1","0,35",0,0,"0,5",0.0,0.0,80.0,5,148.0,400.0,1250.0,2.0,2,Vegetables
Peas green dried,per 100g,2,21,315,"1,1","0,1","0,25",0,0,1,0.0,40.0,80.0,5,93.0,400.0,1000.0,10.0,"3,5",Vegetables
Lentils green and brown dried,per 100g,"1,5",21,306,"0,41","0,1","0,35",0,0,"0,3",0.0,6.0,80.0,5,110.0,400.0,1000.0,5.0,"3,9",Vegetables
Potatoes mashed fresh prep w semi-skimmed milk and margarin,per 100g,"1,8","2,2",83,"0,06","0,06","0,145","0,12","0,1","0,4",7.0,16.0,38.0,"0,4",17.0,56.0,292.0,21.0,"0,35",Bread
Crisps potato av,per 100g,"32,8","6,3",538,"0,21","0,08","0,72",0,0,"4,3",11.0,13.0,27.0,"2,3",60.0,150.0,1269.0,529.0,"1,3",Drop
Radish raw,per 100g,0,1,22,"0,05","0,03","0,08",0,0,0,20.0,2.0,30.0,2,5.0,30.0,250.0,25.0,"0,2",Vegetables
Radish black raw,per 100g,0,2,30,"0,07","0,02","0,08",0,0,0,30.0,2.0,125.0,2,10.0,70.0,400.0,50.0,"0,28",Vegetables
Cress garden raw,per 100g,0,2,15,"0,01","0,1","0,17",0,0,"3,6",50.0,692.0,250.0,"2,5",44.0,80.0,500.0,80.0,"0,46",Vegetables
